VECTOR,20000,3
"3D Crown"
1,32767,0,0
1,32765,285,1389
1,32762,571,2736
1,32755,857,3999
1,32747,1143,5142
1,32735,1429,6128
1,32722,1714,6928
1,32705,2000,7517
1,32687,2285,7878
1,32665,2570,7999
1,32642,2855,7878
1,32616,3140,7517
1,32587,3425,6928
1,32556,3709,6128
1,32522,3993,5142
1,32486,4276,4000
1,32448,4560,2736
1,32407,4843,1389
1,32363,5125,0
1,32317,5408,-1389
1,32269,5689,-2736
1,32218,5971,-3999
1,32164,6252,-5142
1,32109,6532,-6128
1,32050,6812,-6928
1,31990,7092,-7517
1,31927,7370,-7878
1,31861,7649,-7999
1,31793,7927,-7878
1,31723,8204,-7517
1,31650,8480,-6928
1,31575,8756,-6128
1,31497,9031,-5142
1,31417,9306,-4000
1,31335,9580,-2736
1,31250,9853,-1389
1,31163,10125,0
1,31073,10397,1389
1,30981,10667,2736
1,30887,10937,3999
1,30790,11206,5142
1,30691,11475,6128
1,30590,11742,6928
1,30486,12009,7517
1,30381,12274,7878
1,30272,12539,7999
1,30162,12803,7878
1,30049,13065,7517
1,29934,13327,6928
1,29816,13588,6128
1,29696,13847,5142
1,29575,14106,4000
1,29450,14364,2736
1,29324,14620,1389
1,29195,14875,0
1,29064,15130,-1389
1,28931,15383,-2736
1,28796,15635,-3999
1,28658,15885,-5142
1,28518,16135,-6128
1,28377,16383,-6928
1,28233,16630,-7517
1,28086,16876,-7878
1,27938,17120,-7999
1,27788,17363,-7878
1,27635,17605,-7517
1,27480,17846,-6928
1,27323,18085,-6128
1,27165,18323,-5142
1,27004,18559,-4000
1,26841,18794,-2736
1,26676,19027,-1389
1,26509,19259,0
1,26339,19490,1389
1,26168,19719,2736
1,25995,19947,3999
1,25820,20173,5142
1,25643,20397,6128
1,25464,20620,6928
1,25283,20842,7517
1,25100,21062,7878
1,24916,21280,7999
1,24729,21497,7878
1,24541,21712,7517
1,24350,21925,6928
1,24158,22137,6128
1,23964,22347,5142
1,23768,22555,4000
1,23570,22761,2736
1,23371,22966,1389
1,23169,23169,0
1,22966,23371,-1389
1,22761,23570,-2736
1,22555,23768,-3999
1,22347,23964,-5142
1,22137,24158,-6128
1,21925,24350,-6928
1,21712,24541,-7517
1,21497,24729,-7878
1,21280,24916,-7999
1,21062,25100,-7878
1,20842,25283,-7517
1,20620,25464,-6928
1,20397,25643,-6128
1,20173,25820,-5142
1,19947,25995,-4000
1,19719,26168,-2736
1,19490,26339,-1389
1,19259,26509,0
1,19027,26676,1389
1,18794,26841,2736
1,18559,27004,3999
1,18323,27165,5142
1,18085,27323,6128
1,17846,27480,6928
1,17605,27635,7517
1,17363,27787,7878
1,17120,27938,7999
1,16876,28086,7878
1,16630,28232,7517
1,16383,28377,6928
1,16135,28518,6128
1,15885,28658,5142
1,15635,28796,4000
1,15383,28931,2736
1,15130,29064,1389
1,14875,29195,0
1,14620,29324,-1389
1,14364,29450,-2736
1,14106,29574,-3999
1,13847,29696,-5142
1,13588,29816,-6128
1,13327,29934,-6928
1,13065,30049,-7517
1,12803,30162,-7878
